"scientificName","status","rank","Kingdom","Phylum","Class","Order","Family","Genus","PlantGenusSpecies","State","County","Latitude","Longitude","Site","Date","time","temp","hum","wind","FlowerNum","patch_size","Year","doy","Occ","logFlowerNum"
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",NA,NA,NA,69,200,"2019",113,1,69
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",NA,NA,NA,69,200,"2019",113,1,69
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",NA,NA,NA,69,200,"2019",113,1,69
"Cardamine penduliflora O.E.Schulz","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:45",73,43,2,36,96,"2019",113,1,36
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",73,43,2,69,200,"2019",113,1,69
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:00",68,43,3,71,174,"2019",113,1,71
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:20",69,55,3,23,44,"2019",113,1,23
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:20",69,55,3,23,44,"2019",113,1,23
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:20",69,55,3,23,44,"2019",113,1,23
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Cardamine penduliflora O.E.Schulz","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:27",69,55,3,40,100,"2019",113,1,40
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"14:15",70,43,2,124,179,"2019",113,1,124
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus orthorhynchus Hook.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:05",74,43,1,5,25,"2019",113,1,10000
"Cardamine penduliflora O.E.Schulz","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:27",69,55,3,40,100,"2019",113,1,40
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",73,43,2,69,200,"2019",113,1,69
"Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:00",67,43,6,9,26,"2019",113,1,9
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"14:15",70,43,2,124,179,"2019",113,1,124
"Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:00",67,43,6,9,26,"2019",113,1,9
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",73,43,2,69,200,"2019",113,1,69
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:00",68,43,3,71,174,"2019",113,1,71
"Ranunculus orthorhynchus Hook.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"14:36",69,43,4,76,116,"2019",113,1,76
"Cardamine penduliflora O.E.Schulz","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:27",69,55,3,40,100,"2019",113,1,40
"Ranunculus orthorhynchus Hook.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:05",74,43,1,5,25,"2019",113,1,10000
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",73,43,2,69,200,"2019",113,1,69
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:20",69,55,3,23,44,"2019",113,1,23
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"14:35",69,43,4,9,29,"2019",113,1,9
"Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"14:35",69,43,4,9,29,"2019",113,1,9
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:35",67,43,6,102,149,"2019",113,1,102
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:35",67,43,6,102,149,"2019",113,1,102
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:35",67,43,6,102,149,"2019",113,1,102
"Micranthes integrifolia (Hook.) Small","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"15:35",67,43,6,102,149,"2019",113,1,102
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:20",NA,NA,NA,23,44,"2019",113,1,23
"Cardamine penduliflora O.E.Schulz","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:27",NA,NA,NA,40,100,"2019",113,1,40
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",NA,NA,NA,113,300,"2019",113,1,113
"Lomatium nudicaule (Nutt.) J.M.Coult. & Rose","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium nudicaule","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:00",61,52,6,22,42,"2019",114,1,22
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"12:46",61,52,6,6,25,"2019",114,1,6
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"12:46",61,52,6,6,25,"2019",114,1,6
"Lomatium nudicaule (Nutt.) J.M.Coult. & Rose","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium nudicaule","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:00",61,52,6,22,42,"2019",114,1,22
"Lomatium nudicaule (Nutt.) J.M.Coult. & Rose","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium nudicaule","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:00",61,52,6,22,42,"2019",114,1,22
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:46",61,52,6,6,25,"2019",114,1,6
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"14:46",61,52,6,6,25,"2019",114,1,6
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:40",61,52,6,750,1050,"2019",114,1,750
"Lomatium nudicaule (Nutt.) J.M.Coult. & Rose","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium nudicaule","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:00",61,52,6,22,42,"2019",114,1,22
"Lomatium nudicaule (Nutt.) J.M.Coult. & Rose","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium nudicaule","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-04-24,"13:00",61,52,6,22,42,"2019",114,1,22
