Site,Date,State,County,PlantKingdom,PlantPhylum,PlantClass,PlantOrder,PlantFamily,PlantGenus,PlantGenusSpecies,Order,MiscGroup,Family,SubFamily,Tribe,Genus,Species,SubSpecies
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Conopidae,Myopinae,,Myopa,MS1,Myopa MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,Castilleja levisecta,Coleoptera,,Staphylinidae,,,,MS1,Staphylinidae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,MS2,Halictus MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,rubicundus,Halictus rubicundus
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Anthomyiidae,,,,MS1,Anthomyiidae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,Castilleja levisecta,Diptera,,Anthomyiidae,,,,MS1,Anthomyiidae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Empididae,,,,MS2,Empididae MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Empididae,,,,MS2,Empididae MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Sarcophagidae,,,,MS2,Sarcophagidae MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,Diptera,,Scathophagidae,,,,MS1,Scathophagidae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,,,,,,,,
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valerianella,Valerianella locusta,,,,,,,,
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Myosotis,Myosotis discolor,,,,,,,,
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,,,,,,,,
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,nothocalaidis,Andrena nothocalaidis
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,mixtus,Bombus mixtus
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,mixtus,Bombus mixtus
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,Hymenoptera,Anthophila,Apidae,Xylocopinae,Ceratinini,Ceratina,acantha,Ceratina acantha
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Coccinellidae,,,,MS1,Coccinellidae MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Coccinellidae,,,,MS2,Coccinellidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Coccinellidae,,,,MS2,Coccinellidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Coleoptera,,Coccinellidae,,,,MS2,Coccinellidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,Coleoptera,,Chrysomelidae,Galerucinae,Luperini,Diabrotica,undecimpunctata,Diabrotica undecimpunctata
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Coleoptera,,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septumpunctata,Coccinella septumpunctata
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Diptera,,Conopidae,Dalmanniinae,,Dalmannia,MS1,Dalmannia MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,MS1,Lasioglossum MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Diptera,,Empididae,,,,MS21.01,Empididae MS21.01
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,MS1,Lasioglossum MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus orthorhynchus,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,MS1,Lasioglossum MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bradshawii,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Rhagionidae,,,Rhagio,MS1,Rhagio MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bradshawii,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Syrphidae,Syrphinae,Syrphini,Eupeodes,MS1,Eupeodes MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Diptera,,Syrphidae,Syrphinae,Syrphini,Eupeodes,MS1,Eupeodes MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus orthorhynchus,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,Diptera,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,MS1,Toxomerus MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus orthorhynchus,Diptera,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,MS1,Toxomerus MS1
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,,Vespidae,,,Polistes,MS3,Polistes MS3
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,,Vespidae,,,Polistes,MS4,Polistes MS4
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Diptera,,,,,,,Diptera
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bradshawii,Diptera,,,,,,,Diptera
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium bradshawii,Diptera,,,,,,,Diptera
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,,Formicidae,,,,MS2,Formicidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,,Formicidae,,,,MS2,Formicidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,,Formicidae,,,,MS2,Formicidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,,Formicidae,,,,MS2,Formicidae MS2
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,,,,,,,,
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,,,,,,,,
Fisher Butte,23-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,,,,,,,,
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nudicaule,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,MS1,Andrena MS1
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Eucera,,Eucera
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,MS3,Nomada MS3
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nudicaule,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nudicaule,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,tripartitus,Halictus tripartitus
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nudicaule,Diptera,,Anthomyiidae,,,,MS1,Anthomyiidae MS1
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium nudicaule,Diptera,,Anthomyiidae,,,,MS1,Anthomyiidae MS1
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,,,,,,,,
Jefferson Farm,24-Apr-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,,,,,,,,
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Coccinellidae,,,,MS1,Coccinellidae MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Coccinellidae,,,,MS1,Coccinellidae MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Coleoptera,,Elateridae,,,,MS1,Elateridae MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Coleoptera,,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septumpunctata,Coccinella septumpunctata
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,,,,,,Coleoptera
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,rubicundus,Halictus rubicundus
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Moenchia,Moenchia erecta,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,MS1,Lasioglossum MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Sarcophagidae,,,,MS1,Sarcophagidae MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Sarcophagidae,,,,MS1,Sarcophagidae MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Rhagionidae,,,Rhagio,MS1,Rhagio MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Diptera,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,MS1,Toxomerus MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes integrifolia,Hemiptera,,,,,,MS1,Hemiptera MS1
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Myosotis,Myosotis discolor,,,,,,,,
Oxbow West,25-Apr-19,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Myosotis,Myosotis discolor,,,,,,,,
